Year,Quarter,State,Count,Amount,Average Transaction
2023,Q1,Meghalaya,562,1187523.0,2113.0302491103203
2023,Q1,Andaman & Nicobar Islands,1004,1439198.0,1433.4641434262949
2023,Q1,Haryana,37287,61127194.0,1639.3701289993833
2023,Q1,Rajasthan,34415,61441050.0,1785.2985616736887
2023,Q1,Ladakh,161,495736.0,3079.105590062112
2023,Q1,Punjab,10816,23330966.0,2157.0789571005917
2023,Q1,Assam,22100,36963888.0,1672.5741176470588
2023,Q1,Jharkhand,16108,23823406.0,1478.9797616091382
2023,Q1,Odisha,18899,29360555.0,1553.5507169691518
2023,Q1,Bihar,26929,38746711.0,1438.847005087452
2023,Q1,Kerala,62377,101786828.0,1631.8006316430735
2023,Q1,Karnataka,127376,186543426.0,1464.5100018841854
2023,Q1,Chandigarh,1520,2415574.0,1589.1934210526315
2023,Q1,Telangana,54508,82678207.0,1516.8086702869305
2023,Q1,Himachal Pradesh,3909,7826133.0,2002.0805832693784
2023,Q1,West Bengal,56833,77461732.0,1362.9710203578907
2023,Q1,Gujarat,32600,46937694.0,1439.806564417178
2023,Q1,Sikkim,260,688605.0,2648.480769230769
2023,Q1,Nagaland,320,704957.0,2202.990625
2023,Q1,Mizoram,171,326688.0,1910.4561403508771
2023,Q1,Chhattisgarh,10460,16577191.0,1584.8174952198854
2023,Q1,Jammu & Kashmir,4555,10275877.0,2255.9554335894622
2023,Q1,Goa,4097,5859549.0,1430.2047839882841
2023,Q1,Arunachal Pradesh,606,1747475.0,2883.622112211221
2023,Q1,Delhi,45821,61040038.0,1332.1411143362213
2023,Q1,Uttarakhand,7552,13599026.0,1800.7184851694915
2023,Q2,Puducherry,1809,2614006.0,1445.0005527915976
2023,Q2,Tamil Nadu,79698,105328191.0,1321.5913950161862
2023,Q2,Uttar Pradesh,74194,122522457.0,1651.3795859503464
2023,Q2,Madhya Pradesh,27027,44871764.0,1660.2569282569282
2023,Q2,Andhra Pradesh,36376,52067478.0,1431.368979546954
2023,Q2,Tripura,1563,2163813.0,1384.3973128598848
2023,Q2,Lakshadweep,15,38384.0,2558.9333333333334
2023,Q2,Manipur,123,341671.0,2777.8130081300815
2023,Q2,Maharashtra,102754,157303399.0,1530.8737275434532
2023,Q2,Dadra & Nagar Haveli & Daman & Diu,694,1058753.0,1525.5806916426513
2023,Q2,Meghalaya,730,1551577.0,2125.4479452054793
2023,Q2,Andaman & Nicobar Islands,768,1233395.0,1605.9830729166667
2023,Q2,Haryana,40710,62186066.0,1527.5378531073447
2023,Q2,Rajasthan,37170,61301449.0,1649.2184288404628
2023,Q2,Ladakh,215,635831.0,2957.353488372093
2023,Q2,Punjab,13187,24998175.0,1895.6680822021688
