State,District,Year,Quarter,Count,Amount,Average Transaction
Arunachal Pradesh,Dibang Valley,2019,Q3,202,675909.9962923382,3346.08909055613
Arunachal Pradesh,West Kameng,2019,Q3,53939,147186019.8759076,2728.749511038536
Arunachal Pradesh,Shi Yomi,2019,Q3,27,30367.754712275342,1124.7316560101979
Arunachal Pradesh,East Siang,2019,Q3,22611,58040119.9573143,2566.89752586415
Arunachal Pradesh,Upper Subansiri,2019,Q3,7803,22099628.49449406,2832.1963981153476
Arunachal Pradesh,East Kameng,2019,Q3,3814,10631335.871797245,2787.4504121125447
Arunachal Pradesh,Lohit,2019,Q3,24505,54539458.21434432,2225.6461217851183
Arunachal Pradesh,Lepa Rada,2019,Q3,2928,4930337.942058578,1683.8585867686402
Arunachal Pradesh,Tawang,2019,Q3,24097,72221026.28393415,2997.096164831064
Arunachal Pradesh,Namsai,2019,Q3,13453,25507641.015596062,1896.0559738048064
Arunachal Pradesh,Lower Dibang Valley,2019,Q4,10376,21103089.24170351,2033.8366655458278
Arunachal Pradesh,Lower Subansiri,2019,Q4,11806,29634357.486805215,2510.1099006272416
Arunachal Pradesh,Longding,2019,Q4,11018,29245021.393976457,2654.2949168611776
Arunachal Pradesh,West Siang,2019,Q4,14581,39460255.46641725,2706.2790937807595
Arunachal Pradesh,Kamle,2019,Q4,999,1620922.3277442688,1622.5448726168856
Arunachal Pradesh,Upper Siang,2019,Q4,4165,12739585.638734035,3058.724042913334
