Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2019,Q2,Arunachal Pradesh,Dibang Valley,241,258,1.070539419087137
2019,Q2,Arunachal Pradesh,West Kameng,9782,73944,7.559190349621754
2019,Q2,Arunachal Pradesh,Shi Yomi,225,24,0.10666666666666667
2019,Q2,Arunachal Pradesh,East Kameng,1075,4146,3.8567441860465115
2019,Q2,Arunachal Pradesh,Lohit,5485,32550,5.93436645396536
2019,Q2,Arunachal Pradesh,Lepa Rada,903,4196,4.646733111849391
2019,Q2,Arunachal Pradesh,Lower Dibang Valley,2842,12669,4.457776213933849
2019,Q2,Arunachal Pradesh,Longding,1420,13256,9.335211267605635
2019,Q2,Arunachal Pradesh,West Siang,3393,15972,4.7073386383731215
2019,Q2,Arunachal Pradesh,Kamle,212,972,4.584905660377358
2019,Q2,Arunachal Pradesh,Upper Siang,1372,2710,1.9752186588921283
2019,Q2,Arunachal Pradesh,Kurung Kumey,481,2171,4.513513513513513
2019,Q2,Arunachal Pradesh,Siang,831,3209,3.861612515042118
2019,Q2,Arunachal Pradesh,Kra Daadi,440,2639,5.997727272727273
2019,Q2,Arunachal Pradesh,Changlang,6884,37725,5.4800987797791985
2019,Q2,Arunachal Pradesh,Pakke Kessang,211,1237,5.862559241706161
2019,Q2,Arunachal Pradesh,East Siang,7319,34596,4.726875256182539
2019,Q2,Arunachal Pradesh,Upper Subansiri,2355,9043,3.8399150743099786
2019,Q2,Arunachal Pradesh,Tawang,5908,32103,5.433818551117129
2019,Q2,Arunachal Pradesh,Namsai,3914,18627,4.759070005109862
2019,Q3,Arunachal Pradesh,Lower Subansiri,2928,42877,14.643784153005464
2019,Q3,Arunachal Pradesh,Tirap,3099,49222,15.883188125201677
2019,Q3,Arunachal Pradesh,Papum Pare,38845,582435,14.993821598661347
2019,Q3,Arunachal Pradesh,Anjaw,1358,19509,14.3659793814433
2019,Q3,Arunachal Pradesh,Lower Siang,1689,25736,15.237418590882179
2019,Q3,Arunachal Pradesh,Dibang Valley,271,1436,5.2988929889298895
2019,Q3,Arunachal Pradesh,West Kameng,11186,260068,23.249418916502773
