Year,Quarter,State,Count,Amount,Average Transaction
2019,Q2,Ladakh,68772,259255506.9974248,3769.78286217392
2019,Q2,Punjab,8509830,18614793394.772213,2187.4459765673596
2019,Q2,Assam,5454929,10954969189.126175,2008.2698031681393
2019,Q2,Jharkhand,10128211,18622701305.54623,1838.6960249491476
2019,Q2,Odisha,29512024,44754854871.67608,1516.495611133824
2019,Q2,Bihar,29960479,63132438283.54397,2107.1905520450446
2019,Q2,Kerala,7283826,13031371561.185568,1789.083314344078
2019,Q2,Karnataka,115401604,163702024226.0841,1418.5420180648798
2019,Q2,Chandigarh,1252470,2693116098.9444556,2150.243997017458
2019,Q2,Telangana,89610379,155676443182.43457,1737.259064404075
2019,Q2,Himachal Pradesh,2502306,4875883973.61058,1948.5562411673793
2019,Q2,West Bengal,47023535,57105691119.11844,1214.406597018247
2019,Q2,Gujarat,28981842,49320615219.26732,1701.776416394352
2019,Q2,Sikkim,388244,738894243.4359412,1903.1697680735342
2019,Q2,Nagaland,188753,520066682.1585048,2755.276377903953
2019,Q2,Mizoram,75671,248016708.13501447,3277.5661499783864
2019,Q2,Chhattisgarh,9389945,17002355688.82225,1810.6981125898235
2019,Q2,Jammu & Kashmir,2296355,6100142201.563448,2656.4456286434142
2019,Q2,Goa,768441,1591867103.3876143,2071.554098997339
2019,Q2,Arunachal Pradesh,258656,752655874.3550282,2909.8720863039257
2019,Q2,Delhi,57171512,81706816063.62862,1429.1526182415573
2019,Q2,Uttarakhand,4813275,8588532850.9184885,1784.3428540689008
2019,Q3,Puducherry,716826,1460708357.4554102,2037.7446653098664
2019,Q3,Tamil Nadu,41410183,78959604643.63503,1906.767826735637
2019,Q3,Uttar Pradesh,68623959,111268137475.02843,1621.4182203482085
2019,Q3,Madhya Pradesh,53610411,77676321491.22867,1448.9036745349456
2019,Q3,Andhra Pradesh,76288614,139447944254.78943,1827.8998259791354
2019,Q3,Tripura,711717,1017377422.817224,1429.4690485364604
2019,Q3,Lakshadweep,3104,9651761.463768471,3109.459234461492
2019,Q3,Manipur,345008,863552002.562933,2502.9912424144745
2019,Q3,Maharashtra,148735581,199617506744.94272,1342.0965272925698
2019,Q3,Dadra & Nagar Haveli & Daman & Diu,638751,961471473.8483732,1505.236741466351
2019,Q3,Meghalaya,306550,612218602.153532,1997.1247827549569
2019,Q3,Andaman & Nicobar Islands,33770,114071776.08729392,3377.9027565085557
2019,Q3,Haryana,30343531,52489119199.44011,1729.8289773672059
2019,Q3,Rajasthan,67303617,112468290031.92343,1671.0586302059135
