State,District,Year,Quarter,Count,Amount,Average Transaction
Andhra Pradesh,Chittoor,2023,Q1,3284,5677174.0,1728.7375152253348
Andhra Pradesh,Guntur,2023,Q1,3542,4957590.0,1399.6583850931677
Andhra Pradesh,Krishna,2023,Q1,4693,6275818.0,1337.272107393991
Andhra Pradesh,East Godavari,2023,Q2,3690,5519480.0,1495.7940379403794
Andhra Pradesh,Srikakulam,2023,Q2,1083,1556225.0,1436.9575253924284
Andhra Pradesh,Spsr Nellore,2023,Q2,2468,3679371.0,1490.8310372771475
Andhra Pradesh,Vizianagaram,2023,Q2,1227,1530183.0,1247.0929095354522
Andhra Pradesh,Visakhapatnam,2023,Q2,7000,8910217.0,1272.8881428571428
Andhra Pradesh,Prakasam,2023,Q2,1311,1880405.0,1434.3287566742945
Andhra Pradesh,Anantapur,2023,Q2,1688,3027497.0,1793.5408767772512
Andhra Pradesh,Ysr,2023,Q2,1652,2426306.0,1468.7082324455205
Andhra Pradesh,West Godavari,2023,Q2,2140,3383512.0,1581.0803738317757
Andhra Pradesh,Kurnool,2023,Q2,1473,2483871.0,1686.2668024439918
Andhra Pradesh,Chittoor,2023,Q2,3756,5988173.0,1594.2952609158679
Andhra Pradesh,Guntur,2023,Q2,3725,5015442.0,1346.4273825503356
Andhra Pradesh,Krishna,2023,Q2,5163,6666796.0,1291.2639938020532
Andhra Pradesh,East Godavari,2023,Q3,4157,5720660.0,1376.1510704835218
Andhra Pradesh,Srikakulam,2023,Q3,1308,1724487.0,1318.415137614679
Andhra Pradesh,Spsr Nellore,2023,Q3,3082,3962298.0,1285.6255678131083
Andhra Pradesh,Vizianagaram,2023,Q3,1274,1526422.0,1198.133437990581
Andhra Pradesh,Visakhapatnam,2023,Q3,8972,11107138.0,1237.9779313419529
Andhra Pradesh,Prakasam,2023,Q3,1695,2170370.0,1280.4542772861357
Andhra Pradesh,Anantapur,2023,Q3,1947,3392196.0,1742.2681047765793
Andhra Pradesh,Ysr,2023,Q3,1900,2732465.0,1438.1394736842105
Andhra Pradesh,West Godavari,2023,Q3,2308,3162591.0,1370.273396880416
Andhra Pradesh,Kurnool,2023,Q3,1723,2310997.0,1341.2634939059778
Andhra Pradesh,Chittoor,2023,Q3,3993,6350318.0,1590.3626346105684
Andhra Pradesh,Guntur,2023,Q3,4604,5810698.0,1262.0977410947003
Andhra Pradesh,Krishna,2023,Q3,6187,7831756.0,1265.8406335865525
Andhra Pradesh,East Godavari,2023,Q4,4294,6404501.0,1491.5
Andhra Pradesh,Srikakulam,2023,Q4,1327,1851290.0,1395.0941974378297
Andhra Pradesh,Spsr Nellore,2023,Q4,2739,3968074.0,1448.7309236947792
Andhra Pradesh,Vizianagaram,2023,Q4,1350,1745449.0,1292.9251851851852
Andhra Pradesh,Visakhapatnam,2023,Q4,8787,12027284.0,1368.758848298623
Andhra Pradesh,Prakasam,2023,Q4,1561,2357325.0,1510.1377322229341
Andhra Pradesh,Anantapur,2023,Q4,2143,3651525.0,1703.9314045730284
Andhra Pradesh,Ysr,2023,Q4,1923,2738253.0,1423.9485179407177
Andhra Pradesh,West Godavari,2023,Q4,2198,3630998.0,1651.9554140127389
Andhra Pradesh,Kurnool,2023,Q4,1829,3161720.0,1728.6604702022964
Andhra Pradesh,Chittoor,2023,Q4,4025,7322967.0,1819.3706832298137
Andhra Pradesh,Guntur,2023,Q4,4354,6154821.0,1413.6015158474966
Andhra Pradesh,Krishna,2023,Q4,5268,7328216.0,1391.081245254366
Arunachal Pradesh,Lower Dibang Valley,2020,Q2,2,513.0,256.5
Arunachal Pradesh,West Kameng,2020,Q2,2,513.0,256.5
Arunachal Pradesh,Lower Subansiri,2020,Q2,1,231.0,231.0
Arunachal Pradesh,West Siang,2020,Q2,5,1124.0,224.8
Arunachal Pradesh,Kamle,2020,Q2,1,298.0,298.0
Arunachal Pradesh,East Siang,2020,Q2,2,469.0,234.5
Arunachal Pradesh,Tirap,2020,Q2,5,1026.0,205.2
Arunachal Pradesh,Lepa Rada,2020,Q2,1,282.0,282.0
Arunachal Pradesh,Tawang,2020,Q2,3,827.0,275.6666666666667
Arunachal Pradesh,Namsai,2020,Q2,1,231.0,231.0
Arunachal Pradesh,Papum Pare,2020,Q2,33,6304.0,191.03030303030303
Arunachal Pradesh,Changlang,2020,Q2,9,2511.0,279.0
Arunachal Pradesh,Lower Dibang Valley,2020,Q3,4,843.0,210.75
Arunachal Pradesh,Lower Subansiri,2020,Q3,1,662.0,662.0
Arunachal Pradesh,Longding,2020,Q3,1,166.0,166.0
Arunachal Pradesh,West Siang,2020,Q3,5,2052.0,410.4
Arunachal Pradesh,Kamle,2020,Q3,1,166.0,166.0
Arunachal Pradesh,Upper Siang,2020,Q3,1,281.0,281.0
Arunachal Pradesh,Tirap,2020,Q3,3,939.0,313.0
Arunachal Pradesh,Papum Pare,2020,Q3,60,15776.0,262.93333333333334
Arunachal Pradesh,Siang,2020,Q3,1,184.0,184.0
Arunachal Pradesh,Lower Siang,2020,Q3,1,662.0,662.0
Arunachal Pradesh,Changlang,2020,Q3,2,364.0,182.0
Arunachal Pradesh,Dibang Valley,2020,Q3,3,66.0,22.0
Arunachal Pradesh,West Kameng,2020,Q3,12,3466.0,288.8333333333333
Arunachal Pradesh,East Siang,2020,Q3,22,9675.0,439.77272727272725
Arunachal Pradesh,Upper Subansiri,2020,Q3,2,66.0,33.0
Arunachal Pradesh,East Kameng,2020,Q3,2,695.0,347.5
Arunachal Pradesh,Lohit,2020,Q3,9,1557.0,173.0
Arunachal Pradesh,Lepa Rada,2020,Q3,1,548.0,548.0
Arunachal Pradesh,Tawang,2020,Q3,1,33.0,33.0
Arunachal Pradesh,Namsai,2020,Q3,3,1486.0,495.3333333333333
Arunachal Pradesh,Lower Dibang Valley,2020,Q4,9,1981.0,220.11111111111111
Arunachal Pradesh,Lower Subansiri,2020,Q4,1,32.0,32.0
Arunachal Pradesh,West Siang,2020,Q4,1,162.0,162.0
Arunachal Pradesh,Tirap,2020,Q4,4,1561.0,390.25
Arunachal Pradesh,Papum Pare,2020,Q4,48,21298.0,443.7083333333333
Arunachal Pradesh,Siang,2020,Q4,2,691.0,345.5
Arunachal Pradesh,Lower Siang,2020,Q4,1,33.0,33.0
Arunachal Pradesh,Changlang,2020,Q4,7,5505.0,786.4285714285714
Arunachal Pradesh,Pakke Kessang,2020,Q4,2,1017.0,508.5
Arunachal Pradesh,Dibang Valley,2020,Q4,1,2967.0,2967.0
Arunachal Pradesh,West Kameng,2020,Q4,15,22182.0,1478.8
Arunachal Pradesh,East Siang,2020,Q4,10,8075.0,807.5
Arunachal Pradesh,Upper Subansiri,2020,Q4,2,1154.0,577.0
Arunachal Pradesh,East Kameng,2020,Q4,1,32.0,32.0
Arunachal Pradesh,Lohit,2020,Q4,5,4148.0,829.6
Arunachal Pradesh,Lepa Rada,2020,Q4,3,2685.0,895.0
Arunachal Pradesh,Tawang,2020,Q4,10,9740.0,974.0
Arunachal Pradesh,Namsai,2020,Q4,3,984.0,328.0
Arunachal Pradesh,Lower Dibang Valley,2021,Q1,5,4680.0,936.0
Arunachal Pradesh,Lower Subansiri,2021,Q1,2,5103.0,2551.5
Arunachal Pradesh,Longding,2021,Q1,2,1334.0,667.0
Arunachal Pradesh,West Siang,2021,Q1,7,3690.0,527.1428571428571
Arunachal Pradesh,Kamle,2021,Q1,1,167.0,167.0
Arunachal Pradesh,Upper Siang,2021,Q1,5,900.0,180.0
Arunachal Pradesh,Tirap,2021,Q1,7,7696.0,1099.4285714285713
Arunachal Pradesh,Papum Pare,2021,Q1,65,62651.0,963.8615384615384
Arunachal Pradesh,Siang,2021,Q1,2,136.0,68.0
Arunachal Pradesh,Lower Siang,2021,Q1,5,733.0,146.6
Arunachal Pradesh,Kra Daadi,2021,Q1,2,366.0,183.0
Arunachal Pradesh,Changlang,2021,Q1,12,4524.0,377.0
Arunachal Pradesh,Pakke Kessang,2021,Q1,2,415.0,207.5
Arunachal Pradesh,Dibang Valley,2021,Q1,1,669.0,669.0
Arunachal Pradesh,West Kameng,2021,Q1,15,9871.0,658.0666666666667
Arunachal Pradesh,East Siang,2021,Q1,18,8695.0,483.05555555555554
Arunachal Pradesh,Upper Subansiri,2021,Q1,7,4237.0,605.2857142857143
Arunachal Pradesh,East Kameng,2021,Q1,4,132.0,33.0
Arunachal Pradesh,Lohit,2021,Q1,11,2951.0,268.27272727272725
Arunachal Pradesh,Lepa Rada,2021,Q1,2,1258.0,629.0
Arunachal Pradesh,Tawang,2021,Q1,11,10155.0,923.1818181818181
Arunachal Pradesh,Namsai,2021,Q1,8,1248.0,156.0
Arunachal Pradesh,Lower Dibang Valley,2021,Q2,14,8091.0,577.9285714285714
Arunachal Pradesh,Lower Subansiri,2021,Q2,10,4236.0,423.6
