Year,Quarter,State,District,Count,Amount,Average Transaction
2021,Q3,Andhra Pradesh,Guntur District,2519,2102143.0,834.514886859865
2021,Q3,Andhra Pradesh,East Godavari District,2248,2073825.0,922.5200177935943
2021,Q3,Andhra Pradesh,Chittoor District,1991,1995617.0,1002.318935208438
2021,Q3,Andhra Pradesh,Spsr Nellore District,1486,1161025.0,781.3088829071332
2021,Q3,Andhra Pradesh,West Godavari District,1452,1216098.0,837.5330578512396
2021,Q3,Andhra Pradesh,Anantapur District,1329,1311735.0,987.0090293453725
2021,Q3,Andhra Pradesh,Ysr District,1137,1033282.0,908.7792436235708
2021,Q3,Andhra Pradesh,Prakasam District,1050,877683.0,835.8885714285715
2021,Q4,Andhra Pradesh,Visakhapatnam District,4176,5425896.0,1299.3045977011495
2021,Q4,Andhra Pradesh,Krishna District,3029,3841028.0,1268.084516342027
2021,Q4,Andhra Pradesh,Guntur District,2709,3214794.0,1186.7087486157254
2021,Q4,Andhra Pradesh,East Godavari District,2532,3543718.0,1399.5726698262242
2021,Q4,Andhra Pradesh,Chittoor District,2444,3100521.0,1268.6256137479543
2021,Q4,Andhra Pradesh,Spsr Nellore District,2369,2345876.0,990.2389193752638
2021,Q4,Andhra Pradesh,Ysr District,1449,1479933.0,1021.3478260869565
2021,Q4,Andhra Pradesh,Anantapur District,1322,2101400.0,1589.5612708018155
2021,Q4,Andhra Pradesh,West Godavari District,1262,1853561.0,1468.7488114104597
2021,Q4,Andhra Pradesh,Prakasam District,1181,1328774.0,1125.12616426757
2022,Q1,Andhra Pradesh,Visakhapatnam District,5196,6953446.0,1338.2305619707467
2022,Q1,Andhra Pradesh,Krishna District,3914,5279784.0,1348.9483903934595
2022,Q1,Andhra Pradesh,East Godavari District,3605,5199664.0,1442.3478502080443
2022,Q1,Andhra Pradesh,Chittoor District,2887,4304499.0,1490.9937651541393
2022,Q1,Andhra Pradesh,Guntur District,2748,3988284.0,1451.340611353712
2022,Q1,Andhra Pradesh,West Godavari District,1991,3109555.0,1561.8056253139125
2022,Q1,Andhra Pradesh,Spsr Nellore District,1878,2608475.0,1388.964323748669
