Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2021,Q3,Andaman & Nicobar Islands,744103,84790,246433385.80990067,2906.3968134202228
2021,Q3,Andaman & Nicobar Islands,744105,67257,185238368.4767078,2754.187199499053
2021,Q3,Andaman & Nicobar Islands,744102,43850,131239564.16909727,2992.9205055666425
2021,Q3,Andaman & Nicobar Islands,744202,19088,48475163.574293144,2539.562215752994
2021,Q3,Andaman & Nicobar Islands,744107,16203,37962312.09641009,2342.918724705924
2021,Q3,Andaman & Nicobar Islands,744104,14657,35301326.114471875,2408.4960165430766
2021,Q3,Andaman & Nicobar Islands,744112,11565,28491553.61094001,2463.601695714657
2021,Q3,Andaman & Nicobar Islands,744301,11553,43464511.051198,3762.183939340258
2021,Q3,Andaman & Nicobar Islands,744211,9655,19497765.257140517,2019.4474631942535
2021,Q4,Andaman & Nicobar Islands,744101,165719,533026207.9731797,3216.4459595651656
2021,Q4,Andaman & Nicobar Islands,744103,121613,372243734.27985656,3060.887687005966
2021,Q4,Andaman & Nicobar Islands,744105,95028,281223411.7435058,2959.3742027981834
2021,Q4,Andaman & Nicobar Islands,744102,58258,174623253.47653326,2997.4124322244716
2021,Q4,Andaman & Nicobar Islands,744211,27938,94222862.10725296,3372.5700518023104
2021,Q4,Andaman & Nicobar Islands,744104,25662,69245386.0816525,2698.3627964169787
2021,Q4,Andaman & Nicobar Islands,744202,21913,67790798.04849821,3093.6338268835034
2021,Q4,Andaman & Nicobar Islands,744107,21397,52036029.9980372,2431.9311117463753
2021,Q4,Andaman & Nicobar Islands,744112,18915,55448543.43365714,2931.4588122472715
2021,Q4,Andaman & Nicobar Islands,744301,14553,47792330.70050094,3284.019150725001
2022,Q1,Andaman & Nicobar Islands,744101,209941,615978080.6944855,2934.0532849442725
2022,Q1,Andaman & Nicobar Islands,744103,157230,399715980.1391735,2542.237360167738
2022,Q1,Andaman & Nicobar Islands,744105,122716,321850608.7396423,2622.727343945715
2022,Q1,Andaman & Nicobar Islands,744102,74883,193336549.94178736,2581.8483493154304
2022,Q1,Andaman & Nicobar Islands,744104,32471,72915521.83614868,2245.558246932607
2022,Q1,Andaman & Nicobar Islands,744211,30272,86955570.58655271,2872.4752440061015
2022,Q1,Andaman & Nicobar Islands,744107,25379,58776727.62636636,2315.959164126497
2022,Q1,Andaman & Nicobar Islands,744202,24022,68519268.77643085,2852.3548737170445
2022,Q1,Andaman & Nicobar Islands,744112,23471,55469783.6622991,2363.332779272255
2022,Q1,Andaman & Nicobar Islands,744301,17630,56879992.28461884,3226.318337187682
2022,Q2,Andaman & Nicobar Islands,744101,252722,702122365.3629664,2778.239984500623
2022,Q2,Andaman & Nicobar Islands,744103,230746,561168775.5622396,2431.9761797051287
2022,Q2,Andaman & Nicobar Islands,744105,176252,415796516.6034926,2359.10240226206
2022,Q2,Andaman & Nicobar Islands,744102,101551,240451609.192299,2367.7916435318116
2022,Q2,Andaman & Nicobar Islands,744104,47069,94335358.34017953,2004.1929580016472
2022,Q2,Andaman & Nicobar Islands,744211,40245,108788594.62847154,2703.1580228220037
2022,Q2,Andaman & Nicobar Islands,744107,36402,82851064.58195859,2276.0030927410194
2022,Q2,Andaman & Nicobar Islands,744112,32548,70178309.12885833,2156.1481236591594
2022,Q2,Andaman & Nicobar Islands,744202,27750,84587978.8405464,3048.215453713384
2022,Q2,Andaman & Nicobar Islands,744301,26170,74485462.68044695,2846.215616371683
2022,Q3,Andaman & Nicobar Islands,744104,497273,951370315.4090765,1913.1750877467236
2022,Q3,Andaman & Nicobar Islands,744103,259994,545653686.3062732,2098.7164561731165
2022,Q3,Andaman & Nicobar Islands,744101,213864,444967255.802143,2080.6084979339344
2022,Q3,Andaman & Nicobar Islands,744105,208055,438754611.5375265,2108.8395450122634
2022,Q3,Andaman & Nicobar Islands,744102,114416,239581586.790242,2093.9517793861173
2022,Q3,Andaman & Nicobar Islands,744107,40466,85492008.49477127,2112.6874041113842
2022,Q3,Andaman & Nicobar Islands,744112,38350,74030563.48358011,1930.392789663106
2022,Q3,Andaman & Nicobar Islands,744211,37918,89671382.06901146,2364.876366607191
2022,Q3,Andaman & Nicobar Islands,744202,29918,85509005.84576747,2858.112368666604
