Year,Quarter,State,District,Count,Amount,Average Transaction
2022,Q1,Assam,Sonitpur,735,1366384.0,1859.025850340136
2022,Q1,Assam,Golaghat,651,1131690.0,1738.3870967741937
2022,Q1,Assam,Tinsukia,643,1177509.0,1831.2737169517884
2022,Q1,Assam,Cachar,594,1093901.0,1841.584175084175
2022,Q1,Assam,Kamrup,530,905037.0,1707.6169811320756
2022,Q2,Assam,Kamrup Metropolitan,2330,3272854.0,1404.6583690987125
2022,Q2,Assam,Dibrugarh,587,1057176.0,1800.9812606473595
2022,Q2,Assam,Sonitpur,552,928881.0,1682.7554347826087
2022,Q2,Assam,Kamrup,406,635248.0,1564.6502463054187
2022,Q2,Assam,Barpeta,406,598109.0,1473.1748768472905
2022,Q2,Assam,Tinsukia,389,774583.0,1991.215938303342
2022,Q2,Assam,Nagaon,385,680355.0,1767.155844155844
2022,Q2,Assam,Cachar,349,610793.0,1750.1232091690545
2022,Q2,Assam,Jorhat,347,575716.0,1659.1239193083572
2022,Q2,Assam,Kokrajhar,242,254646.0,1052.2561983471073
2022,Q3,Assam,Kamrup Metropolitan,3502,4613053.0,1317.2624214734437
2022,Q3,Assam,Sonitpur,865,1425722.0,1648.2335260115608
2022,Q3,Assam,Dibrugarh,848,1381966.0,1629.676886792453
2022,Q3,Assam,Barpeta,708,1128686.0,1594.1892655367233
2022,Q3,Assam,Nagaon,673,1113514.0,1654.5527488855869
2022,Q3,Assam,Kamrup,612,983523.0,1607.063725490196
2022,Q3,Assam,Tinsukia,566,936833.0,1655.1819787985867
2022,Q3,Assam,Cachar,527,803800.0,1525.237191650854
2022,Q3,Assam,Jorhat,472,803029.0,1701.332627118644
2022,Q3,Assam,Karimganj,444,689445.0,1552.804054054054
2022,Q4,Assam,Kamrup Metropolitan,5835,7067068.0,1211.1513281919451
2022,Q4,Assam,Sonitpur,1095,1672604.0,1527.4922374429225
2022,Q4,Assam,Dibrugarh,1094,1961516.0,1792.9762340036564
2022,Q4,Assam,Kamrup,864,1321583.0,1529.6099537037037
2022,Q4,Assam,Barpeta,845,1263373.0,1495.115976331361
2022,Q4,Assam,Nagaon,731,1242807.0,1700.1463748290014
